word,CONTROL,AC15,AC15P,HYBRID_3_5,HYBRID_SEMANTIC,total
flash,1,2,0,0,1,4
dated,1,3,0,0,0,4
proposal,0,1,1,1,1,4
begin,0,0,0,4,0,4
boxed,0,0,4,0,0,4
catastrophic,0,0,0,0,4,4
looks,0,0,0,2,2,4
remove,0,4,0,0,0,4
our,0,3,1,0,0,4
almost,0,0,0,0,4,4
systems,2,0,2,0,0,4
was,2,0,0,0,2,4
ephemeral,0,0,2,0,2,4
clock,0,0,0,4,0,4
snippets,2,0,0,0,2,4
term,3,1,0,0,0,4
successful,0,0,4,0,0,4
exclusion,0,0,0,3,1,4
certificate,0,0,4,0,0,4
wording,0,0,0,4,0,4
modules,3,0,0,1,0,4
acceptability,0,0,4,0,0,4
allow,0,0,0,4,0,4
mvp,0,4,0,0,0,4
coverage,0,2,0,1,1,4
covenants,0,0,0,0,4,4
regret,0,0,0,0,4,4
slower,4,0,0,0,0,4
threshold,4,0,0,0,0,4
well,0,1,0,0,3,4
90k,0,2,0,2,0,4
memo,1,0,1,2,0,4
every,0,1,3,0,0,4
references,0,2,0,1,1,4
zero,0,3,0,0,0,3
requiring,0,0,1,2,0,3
typical,0,3,0,0,0,3
slate,0,0,0,0,3,3
carries,0,0,0,3,0,3
treat,0,0,3,0,0,3
important,1,1,1,0,0,3
cheaper,1,2,0,0,0,3
invoked,0,0,2,0,1,3
users,1,0,0,2,0,3
broad,1,0,1,0,1,3
yourself,0,1,2,0,0,3
hire,2,1,0,0,0,3
payments,1,0,2,0,0,3
assert,0,0,0,3,0,3
job,0,0,2,0,1,3
matters,0,0,0,0,3,3
neutralize,2,0,0,0,1,3
proceed,1,0,0,1,1,3
committed,0,0,0,0,3,3
willingness,0,2,0,0,1,3
letter,0,0,0,3,0,3
occasional,0,0,0,0,3,3
components,1,2,0,0,0,3
learning,0,0,0,0,3,3
bottom,0,0,1,0,2,3
workload,0,3,0,0,0,3
tranche,2,0,1,0,0,3
nurse,0,1,0,2,0,3
becoming,0,0,0,2,1,3
softens,0,3,0,0,0,3
slo,0,0,0,0,3,3
evacuation,0,1,0,1,1,3
sever,0,3,0,0,0,3
beat,0,0,0,0,3,3
dead,2,0,0,1,0,3
calm,1,0,2,0,0,3
covers,0,0,0,0,3,3
engineers,0,0,3,0,0,3
retiming,0,3,0,0,0,3
checklist,0,3,0,0,0,3
selling,1,0,1,0,1,3
number,0,3,0,0,0,3
toggle,0,0,0,1,2,3
shows,0,0,1,2,0,3
redacted,0,0,0,3,0,3
sounds,0,0,0,3,0,3
pending,0,0,3,0,0,3
decks,0,3,0,0,0,3
mine,0,0,1,0,2,3
automatic,0,0,3,0,0,3
industry,0,0,0,0,3,3
push,2,1,0,0,0,3
preserves,0,1,0,1,1,3
extractive,0,3,0,0,0,3
turnaround,0,3,0,0,0,3
defend,0,0,0,3,0,3
hospitals,0,0,2,1,0,3
ruts,1,0,0,2,0,3
types,0,2,1,0,0,3
requirement,0,1,0,2,0,3
renegotiated,0,0,0,3,0,3
were,0,0,1,0,2,3
cowork,0,0,3,0,0,3
exhibit,0,2,0,1,0,3
escalator,0,0,0,0,3,3
purely,0,3,0,0,0,3
insurance,0,1,0,2,0,3
alignment,0,2,1,0,0,3
divert,0,0,3,0,0,3
abort,1,0,2,0,0,3
legacy,0,0,0,0,3,3
related,0,0,0,3,0,3
observe,0,0,3,0,0,3
useful,3,0,0,0,0,3
secured,0,0,0,0,3,3
detour,0,3,0,0,0,3
remains,0,1,2,0,0,3
baseline,3,0,0,0,0,3
patterns,0,3,0,0,0,3
introduce,0,0,0,3,0,3
calendar,0,0,1,0,2,3
trail,0,1,0,0,2,3
conversations,2,1,0,0,0,3
been,0,0,0,2,1,3
transfers,1,0,2,0,0,3
assumptions,2,0,0,1,0,3
clauses,1,0,0,2,0,3
things,3,0,0,0,0,3
commercial,2,0,0,1,0,3
compelling,0,0,3,0,0,3
interaction,3,0,0,0,0,3
consequences,0,0,0,0,3,3
prompt,0,2,0,0,1,3
avoided,0,0,0,0,3,3
performs,0,3,0,0,0,3
focused,0,2,0,0,1,3
save,2,1,0,0,0,3
doing,0,0,1,2,0,3
join,0,0,0,3,0,3
packet,0,0,0,0,3,3
truck,0,0,0,0,3,3
congestion,0,3,0,0,0,3
fewer,0,1,1,0,1,3
reputable,0,3,0,0,0,3
compete,3,0,0,0,0,3
fork,0,0,3,0,0,3
opaque,0,0,0,1,2,3
willing,0,0,1,1,1,3
optics,0,3,0,0,0,3
roadmap,0,1,0,0,2,3
excerpts,0,1,0,0,2,3
hold,2,0,0,0,1,3
activity,0,3,0,0,0,3
inflated,0,3,0,0,0,3
clears,0,3,0,0,0,3
md,1,0,0,2,0,3
lite,2,0,1,0,0,3
provider,0,0,3,0,0,3
net,0,1,0,1,1,3
program,0,0,3,0,0,3
bearing,0,0,0,3,0,3
disrupting,0,3,0,0,0,3
bias,2,0,1,0,0,3
lexical,0,0,3,0,0,3
tighter,0,0,0,3,0,3
pad,2,0,0,1,0,3
means,0,0,3,0,0,3
speed,0,0,0,3,0,3
led,3,0,0,0,0,3
engage,0,0,0,0,3,3
score,0,3,0,0,0,3
worked,0,3,0,0,0,3
cpi,0,0,1,0,2,3
sufficient,0,1,0,2,0,3
injection,0,3,0,0,0,3
provides,0,0,0,3,0,3
direct,0,2,0,1,0,3
economics,0,0,3,0,0,3
tier,0,0,0,1,2,3
sincere,0,2,1,0,0,3
routing,2,0,1,0,0,3
affection,0,0,3,0,0,3
strongest,0,0,0,0,3,3
introduced,0,0,3,0,0,3
reinforcing,0,0,3,0,0,3
derived,0,0,0,0,3,3
potentially,0,0,0,0,3,3
owner,1,0,2,0,0,3
extended,1,0,0,1,1,3
had,0,0,0,2,1,3
cynics,0,0,3,0,0,3
technical,1,1,0,1,0,3
deliverables,1,0,0,0,2,3
cleanest,0,0,3,0,0,3
addendum,0,0,0,3,0,3
conditioning,0,0,0,3,0,3
management,0,1,2,0,0,3
pace,2,1,0,0,0,3
dual,0,0,3,0,0,3
changes,0,1,1,0,1,3
drill,0,0,3,0,0,3
deliver,0,3,0,0,0,3
signable,0,0,3,0,0,3
max,0,2,0,0,1,3
inclusions,0,3,0,0,0,3
flip,0,0,2,0,1,3
dynamic,0,2,1,0,0,3
equal,0,0,0,0,3,3
persistent,0,0,3,0,0,3
opt,0,0,1,2,0,3
failed,0,0,0,3,0,3
benefits,0,0,3,0,0,3
dark,1,2,0,0,0,3
valid,0,0,3,0,0,3
stronger,3,0,0,0,0,3
difference,0,2,0,0,1,3
credible,1,1,0,1,0,3
prose,3,0,0,0,0,3
cultural,0,0,0,0,3,3
minutes,0,0,3,0,0,3
extra,0,0,3,0,0,3
leaves,1,0,0,0,2,3
unit,0,0,3,0,0,3
dilution,0,0,1,0,2,3
causes,0,0,0,0,3,3
explicitly,0,0,0,0,3,3
narrative,2,0,0,1,0,3
practically,2,0,1,0,0,3
add,0,1,0,2,0,3
loud,0,0,0,3,0,3
routine,1,0,0,1,1,3
relevant,0,1,1,0,1,3
strict,0,0,0,0,3,3
never,0,0,0,1,2,3
enforce,0,2,1,0,0,3
payment,0,3,0,0,0,3
verbatim,2,0,0,1,0,3
consume,3,0,0,0,0,3
back,0,0,2,0,1,3
discussions,0,0,0,3,0,3
pulled,0,0,0,0,3,3
intact,3,0,0,0,0,3
lethal,0,0,0,3,0,3
footprint,0,1,0,0,2,3
enforced,3,0,0,0,0,3
script,0,0,0,0,3,3
such,0,3,0,0,0,3
information,0,3,0,0,0,3
unreachable,0,0,3,0,0,3
pause,0,1,2,0,0,3
expense,0,0,0,0,3,3
predictability,1,0,1,0,1,3
nontrivial,0,3,0,0,0,3
currently,0,0,0,3,0,3
fleet,0,2,0,1,0,3
hers,0,0,2,0,0,2
party,0,1,0,1,0,2
migration,0,0,2,0,0,2
kpis,0,2,0,0,0,2
described,0,2,0,0,0,2
buildout,0,0,0,2,0,2
k,0,1,0,1,0,2
counselor,0,0,0,0,2,2
guilt,0,0,2,0,0,2
classes,0,1,0,0,1,2
protected,0,0,0,0,2,2
finalize,2,0,0,0,0,2
accountability,0,0,0,0,2,2
aligned,0,0,0,2,0,2
paths,0,0,1,1,0,2
indicators,0,0,2,0,0,2
faces,0,2,0,0,0,2
load,0,0,0,2,0,2
spare,0,2,0,0,0,2
reduces,0,0,2,0,0,2
assess,0,0,0,0,2,2
apm,0,2,0,0,0,2
locked,2,0,0,0,0,2
detects,0,2,0,0,0,2
grounded,0,0,2,0,0,2
descent,2,0,0,0,0,2
framed,0,0,0,0,2,2
readily,2,0,0,0,0,2
rely,0,2,0,0,0,2
competitor,0,1,1,0,0,2
payload,0,0,0,2,0,2
increasing,0,0,2,0,0,2
page,1,1,0,0,0,2
concerns,1,0,1,0,0,2
recommending,0,0,2,0,0,2
sale,0,2,0,0,0,2
activate,0,0,2,0,0,2
loading,0,0,0,0,2,2
colleague,0,2,0,0,0,2
existence,0,0,0,2,0,2
charge,0,0,2,0,0,2
minimum,0,0,1,0,1,2
met,0,1,0,0,1,2
recommend,0,2,0,0,0,2
preemption,0,0,2,0,0,2
expanding,0,2,0,0,0,2
enforcement,0,0,0,0,2,2
override,0,0,2,0,0,2
agreement,2,0,0,0,0,2
via,0,2,0,0,0,2
penalized,0,2,0,0,0,2
rut,2,0,0,0,0,2
transcripts,0,0,0,2,0,2
vagueness,0,0,2,0,0,2
vn,0,0,2,0,0,2
allowed,0,0,0,0,2,2
opportunity,0,0,0,0,2,2
optimizing,0,2,0,0,0,2
available,2,0,0,0,0,2
maintains,0,0,0,2,0,2
marked,0,0,0,0,2,2
edits,0,1,0,1,0,2
clean,0,0,0,0,2,2
longing,0,0,0,0,2,2
attempts,0,0,0,2,0,2
handle,0,2,0,0,0,2
asked,0,0,0,2,0,2
momentum,0,1,1,0,0,2
v1,0,2,0,0,0,2
reversibility,0,2,0,0,0,2
framings,0,0,2,0,0,2
iteration,0,0,2,0,0,2
sane,0,0,2,0,0,2
input,0,2,0,0,0,2
approvals,1,0,0,1,0,2
migrates,0,0,2,0,0,2
clarify,0,0,1,1,0,2
view,2,0,0,0,0,2
worth,0,0,0,2,0,2
tactics,0,2,0,0,0,2
door,0,0,2,0,0,2
procedure,0,2,0,0,0,2
contacts,2,0,0,0,0,2
targets,0,0,2,0,0,2
another,0,0,0,0,2,2
beta,1,0,0,0,1,2
adjustment,2,0,0,0,0,2
select,0,0,0,0,2,2
asks,2,0,0,0,0,2
blob,0,2,0,0,0,2
volunteer,0,0,2,0,0,2
promote,0,1,0,0,1,2
reserve,0,0,2,0,0,2
truly,2,0,0,0,0,2
personally,0,0,0,0,2,2
thread,1,0,0,1,0,2
technically,1,1,0,0,0,2
loops,0,0,2,0,0,2
import,2,0,0,0,0,2
supervisors,0,2,0,0,0,2
buffers,0,0,0,0,2,2
benefit,0,0,1,1,0,2
pushes,0,0,0,0,2,2
predatory,0,0,1,0,1,2
discount,0,0,2,0,0,2
exclusive,0,2,0,0,0,2
volatile,0,0,0,2,0,2
independence,1,0,1,0,0,2
co,2,0,0,0,0,2
senior,0,2,0,0,0,2
working,0,0,2,0,0,2
goals,0,0,0,0,2,2
title,2,0,0,0,0,2
savings,0,0,0,1,1,2
eliminated,0,0,0,0,2,2
provably,0,0,0,2,0,2
step,1,1,0,0,0,2
talk,0,0,0,0,2,2
complexity,0,0,0,0,2,2
big,1,0,1,0,0,2
changed,0,1,1,0,0,2
knows,0,0,1,1,0,2
thinking,0,0,0,2,0,2
self,0,0,2,0,0,2
stated,2,0,0,0,0,2
windows,0,0,0,2,0,2
temporary,0,0,1,0,1,2
handler,0,0,2,0,0,2
letting,0,0,2,0,0,2
border,0,2,0,0,0,2
rise,0,0,2,0,0,2
deliverability,2,0,0,0,0,2
errors,0,0,0,0,2,2
purchases,0,0,0,2,0,2
inside,0,0,2,0,0,2
side,0,0,0,2,0,2
vehicles,0,0,0,2,0,2
hoping,2,0,0,0,0,2
post,0,1,0,1,0,2
signatory,0,0,2,0,0,2
retrieve,0,0,0,2,0,2
index,0,0,1,0,1,2
corpora,0,0,0,0,2,2
continues,0,0,0,0,2,2
third,0,1,0,1,0,2
worries,2,0,0,0,0,2
architectures,0,0,0,2,0,2
training,0,0,0,0,2,2
tightly,0,1,1,0,0,2
forensics,2,0,0,0,0,2
expects,0,0,0,2,0,2
consistently,0,0,0,0,2,2
selecting,2,0,0,0,0,2
trending,0,0,0,0,2,2
community,0,0,0,2,0,2
travel,0,0,2,0,0,2
conversation,0,0,0,0,2,2
others,2,0,0,0,0,2
materially,2,0,0,0,0,2
layering,0,0,0,0,2,2
intent,1,0,0,1,0,2
grounding,0,0,0,2,0,2
preferably,2,0,0,0,0,2
fewest,2,0,0,0,0,2
done,0,0,0,0,2,2
referenced,0,0,0,0,2,2
hash,0,0,2,0,0,2
neutral,0,0,0,0,2,2
autonomous,0,0,0,1,1,2
hardening,0,2,0,0,0,2
older,0,0,0,0,2,2
treats,2,0,0,0,0,2
safeguards,0,1,0,0,1,2
negotiate,0,2,0,0,0,2
works,0,2,0,0,0,2
relative,0,0,0,2,0,2
survival,0,1,1,0,0,2
respected,0,0,0,2,0,2
permanently,1,0,0,0,1,2
elimination,0,0,0,2,0,2
locally,0,0,2,0,0,2
template,0,0,1,1,0,2
fairness,0,1,0,1,0,2
sunk,0,2,0,0,0,2
evidence_refs,0,2,0,0,0,2
put,0,0,2,0,0,2
detonates,0,0,0,2,0,2
configurations,0,2,0,0,0,2
sorties,0,2,0,0,0,2
approx,2,0,0,0,0,2
strategic,2,0,0,0,0,2
extension,0,2,0,0,0,2
cad,1,0,0,1,0,2
severity,1,1,0,0,0,2
function,0,0,0,0,2,2
prevents,0,0,0,2,0,2
showstopper,0,0,2,0,0,2
mentioned,0,0,0,0,2,2
acting,0,0,2,0,0,2
onsite,0,0,0,0,2,2
topics,0,0,1,0,1,2
submission,0,1,0,0,1,2
onboard,2,0,0,0,0,2
domain,2,0,0,0,0,2
internal,0,0,0,2,0,2
justify,0,0,0,0,2,2
boundary,0,0,0,1,1,2
sprints,0,0,2,0,0,2
rbac,0,2,0,0,0,2
prone,0,0,2,0,0,2
upfront,0,0,0,2,0,2
liquid,0,0,2,0,0,2
sensitive,0,1,1,0,0,2
method,0,0,0,0,2,2
judged,0,0,2,0,0,2
genuine,0,2,0,0,0,2
residency,2,0,0,0,0,2
ups,0,0,0,2,0,2
advantage,0,0,0,2,0,2
chair,0,0,2,0,0,2
moments,0,2,0,0,0,2
survey,0,0,2,0,0,2
ga,1,0,0,1,0,2
extend,0,0,1,1,0,2
let,0,0,2,0,0,2
region,0,1,1,0,0,2
staffing,2,0,0,0,0,2
remediation,2,0,0,0,0,2
certification,0,2,0,0,0,2
generate,0,0,0,0,2,2
demonstrate,0,0,0,1,1,2
cabinet,0,0,0,2,0,2
extends,0,0,0,2,0,2
guardrails,0,0,0,2,0,2
cliffs,0,2,0,0,0,2
relevance,0,2,0,0,0,2
valuable,0,1,0,1,0,2
enough,0,2,0,0,0,2
gives,0,2,0,0,0,2
avl,1,0,0,1,0,2
included,0,0,0,0,2,2
vendors,0,1,0,0,1,2
unreliable,0,2,0,0,0,2
talent,0,0,0,0,2,2
losing,1,0,0,1,0,2
call,0,0,1,0,1,2
existing,0,0,0,2,0,2
defending,0,0,0,2,0,2
customers,0,0,2,0,0,2
circle,0,0,0,2,0,2
gtrsim,0,0,0,0,2,2
pasted,0,0,0,0,2,2
visible,0,0,1,0,1,2
visibility,0,2,0,0,0,2
bounds,0,2,0,0,0,2
sales,0,0,0,0,2,2
classify,0,0,0,0,2,2
introductions,0,2,0,0,0,2
interacts,0,0,0,2,0,2
sense,0,0,2,0,0,2
repeated,0,0,0,2,0,2
worst,1,1,0,0,0,2
parts,0,1,0,0,1,2
quickly,0,0,0,0,2,2
diagnostics,0,0,0,0,2,2
accountable,0,1,0,1,0,2
label,1,1,0,0,0,2
rare,0,0,0,0,2,2
p95,0,2,0,0,0,2
supports,1,0,0,0,1,2
climb,2,0,0,0,0,2
raises,0,0,0,2,0,2
answers,2,0,0,0,0,2
environment,0,0,0,1,1,2
mobilization,0,2,0,0,0,2
decisive,0,0,2,0,0,2
upgrades,0,2,0,0,0,2
heavy,2,0,0,0,0,2
subscription,0,0,2,0,0,2
runway,0,1,0,1,0,2
lose,0,0,0,0,2,2
midpoint,2,0,0,0,0,2
many,0,1,0,1,0,2
vacation,0,0,2,0,0,2
friendships,1,1,0,0,0,2
point,0,0,0,0,2,2
accommodation,2,0,0,0,0,2
reliable,1,0,0,1,0,2
parallel,0,0,2,0,0,2
originally,0,2,0,0,0,2
result,0,0,2,0,0,2
tight,0,0,0,0,2,2
erode,0,0,1,0,0,1
anomalies,0,0,0,1,0,1
diligence,0,0,0,0,1,1
termination,0,0,0,1,0,1
caregiving,0,0,0,1,0,1
counterproposal,0,0,0,1,0,1
obstruction,0,0,0,0,1,1
polygon,0,1,0,0,0,1
n_,0,0,0,1,0,1
expiry,0,0,1,0,0,1
subscriptions,0,0,1,0,0,1
assumption,1,0,0,0,0,1
far,0,1,0,0,0,1
fields,0,0,0,1,0,1
unfair,0,0,0,0,1,1
statused,0,0,1,0,0,1
crisis,1,0,0,0,0,1
misalignment,0,0,1,0,0,1
compute,0,1,0,0,0,1
testable,0,0,0,1,0,1
panic,0,1,0,0,0,1
crashes,0,1,0,0,0,1
flashing,0,0,1,0,0,1
filtered,0,0,0,0,1,1
internally,0,1,0,0,0,1
safer,0,0,0,0,1,1
joy,0,0,0,1,0,1
stationary,0,0,0,1,0,1
stabilize,0,0,1,0,0,1
databases,0,0,0,0,1,1
matter,0,0,0,0,1,1
lateral,1,0,0,0,0,1
informative,0,0,1,0,0,1
perf,1,0,0,0,0,1
driven,0,1,0,0,0,1
suspended,1,0,0,0,0,1
strongly,1,0,0,0,0,1
riskier,0,0,0,1,0,1
underestimating,1,0,0,0,0,1
whenever,1,0,0,0,0,1
apis,1,0,0,0,0,1
incentives,0,0,0,1,0,1
injury,1,0,0,0,0,1
soft,0,0,1,0,0,1
visit,0,0,1,0,0,1
query,0,0,0,1,0,1
unspoken,0,1,0,0,0,1
buggy,1,0,0,0,0,1
excessive,0,1,0,0,0,1
drama,1,0,0,0,0,1
subject,0,0,1,0,0,1
allocation,0,0,0,1,0,1
mover,0,0,0,1,0,1
configurable,1,0,0,0,0,1
blocks,0,0,0,0,1,1
increased,0,0,1,0,0,1
substitutions,0,0,1,0,0,1
prefer,0,1,0,0,0,1
opener,0,0,1,0,0,1
ai,0,1,0,0,0,1
unexpectedly,0,1,0,0,0,1
failures,0,0,0,0,1,1
healthy,0,0,1,0,0,1
expectation,0,1,0,0,0,1
agree,1,0,0,0,0,1
solve,0,1,0,0,0,1
human,0,0,0,0,1,1
confidently,0,0,0,0,1,1
qualifies,0,0,0,0,1,1
updates,0,0,1,0,0,1
consider,0,0,0,1,0,1
specified,0,0,0,1,0,1
share,0,1,0,0,0,1
believe,0,0,0,0,1,1
supersedes,0,1,0,0,0,1
exports,0,0,0,0,1,1
exportable,0,0,0,1,0,1
established,1,0,0,0,0,1
genuinely,0,1,0,0,0,1
coordination,0,1,0,0,0,1
duty,1,0,0,0,0,1
markets,0,0,0,0,1,1
economic,0,1,0,0,0,1
routines,1,0,0,0,0,1
assume,0,0,0,0,1,1
instead,0,0,0,1,0,1
predictions,0,0,1,0,0,1
compatible,0,0,0,1,0,1
whichever,0,1,0,0,0,1
entries,0,0,0,0,1,1
politics,0,0,0,0,1,1
industrial,0,0,0,0,1,1
versions,0,0,0,1,0,1
notice,0,0,0,0,1,1
precautionary,0,0,0,0,1,1
won,0,0,1,0,0,1
green,1,0,0,0,0,1
revised,1,0,0,0,0,1
codebase,0,0,1,0,0,1
describing,0,0,1,0,0,1
navigation,0,0,0,0,1,1
c_,0,0,0,1,0,1
great,0,0,0,0,1,1
inconvenient,0,0,0,1,0,1
primarily,0,0,0,1,0,1
looking,0,1,0,0,0,1
escape,0,1,0,0,0,1
certainty,0,0,1,0,0,1
store,0,0,1,0,0,1
loads,1,0,0,0,0,1
hasn,0,1,0,0,0,1
clinic,0,0,0,1,0,1
activation,0,0,0,1,0,1
turns,1,0,0,0,0,1
scale,0,0,0,0,1,1
injects,0,0,0,0,1,1
metric,0,0,0,0,1,1
predictably,0,0,0,0,1,1
predefine,0,0,0,0,1,1
monthly,0,0,0,1,0,1
protect,1,0,0,0,0,1
coercion,0,0,1,0,0,1
vc,0,1,0,0,0,1
role,0,0,0,1,0,1
feeds,0,0,0,0,1,1
ghost,0,0,1,0,0,1
facility,0,0,1,0,0,1
measurable,0,0,1,0,0,1
setup,0,0,0,0,1,1
sound,0,1,0,0,0,1
steady,0,0,1,0,0,1
rental,0,0,1,0,0,1
lifestyle,0,0,0,0,1,1
predictive,0,0,1,0,0,1
variable,0,0,0,0,1,1
treating,0,0,1,0,0,1
disappointed,1,0,0,0,0,1
reduction,0,0,0,1,0,1
defer,0,0,0,1,0,1
general,1,0,0,0,0,1
proposes,0,1,0,0,0,1
policies,0,1,0,0,0,1
red,0,0,1,0,0,1
press,0,1,0,0,0,1
gross,0,1,0,0,0,1
published,0,0,1,0,0,1
bugs,0,0,0,1,0,1
paste,0,1,0,0,0,1
biggest,0,0,0,1,0,1
attachment,0,0,0,1,0,1
translate,0,0,1,0,0,1
report,1,0,0,0,0,1
also,0,0,1,0,0,1
units,0,0,0,1,0,1
unplanned,0,0,0,1,0,1
enter,0,1,0,0,0,1
trained,0,0,0,0,1,1
remember,0,0,1,0,0,1
hidden,0,0,1,0,0,1
temporal,0,0,1,0,0,1
draws,0,0,1,0,0,1
procedural,0,1,0,0,0,1
rtb,0,0,0,0,1,1
cognitive,0,1,0,0,0,1
turn,0,0,0,0,1,1
staff,0,0,0,1,0,1
punishment,0,0,1,0,0,1
arise,0,0,0,1,0,1
focus,0,0,0,1,0,1
write,0,0,1,0,0,1
clients,1,0,0,0,0,1
financially,0,0,1,0,0,1
fake,0,0,0,1,0,1
cannibalize,0,0,0,0,1,1
v_,0,0,0,1,0,1
proactive,0,1,0,0,0,1
coding,1,0,0,0,0,1
crisp,0,0,0,1,0,1
talking,0,1,0,0,0,1
immutable,1,0,0,0,0,1
dies,0,0,0,1,0,1
forgets,0,0,0,0,1,1
reasonable,0,0,0,1,0,1
effect,0,0,0,1,0,1
respect,0,1,0,0,0,1
story,0,0,1,0,0,1
sick,1,0,0,0,0,1
sessions,0,0,0,0,1,1
ends,0,0,0,1,0,1
remembered,0,0,0,0,1,1
unconfirmed,0,1,0,0,0,1
disruptive,0,1,0,0,0,1
disappointment,0,0,1,0,0,1
bring,1,0,0,0,0,1
reporting,0,0,0,1,0,1
requests,0,1,0,0,0,1
rule,1,0,0,0,0,1
symbols,0,0,1,0,0,1
harshly,0,0,0,1,0,1
sacrificing,0,1,0,0,0,1
ideally,0,1,0,0,0,1
adjacency,0,1,0,0,0,1
cuts,0,1,0,0,0,1
identity,0,0,1,0,0,1
forces,0,0,1,0,0,1
profit,0,1,0,0,0,1
hardens,0,1,0,0,0,1
dashboard,0,0,1,0,0,1
acceptable,1,0,0,0,0,1
dominate,0,0,0,0,1,1
lean,0,1,0,0,0,1
outages,0,1,0,0,0,1
negotiable,0,0,0,0,1,1
attach,1,0,0,0,0,1
capable,0,1,0,0,0,1
tool,0,0,0,0,1,1
hear,0,0,0,1,0,1
funds,0,0,1,0,0,1
spot,1,0,0,0,0,1
steers,0,0,1,0,0,1
faster,0,0,0,1,0,1
career,0,0,1,0,0,1
since,0,1,0,0,0,1
freedom,1,0,0,0,0,1
abc123,1,0,0,0,0,1
diversified,0,1,0,0,0,1
alive,1,0,0,0,0,1
brittleness,0,0,0,1,0,1
continuing,1,0,0,0,0,1
happen,0,0,1,0,0,1
infinite,0,1,0,0,0,1
interest,0,1,0,0,0,1
lets,1,0,0,0,0,1
scoring,0,0,0,1,0,1
regulatory,1,0,0,0,0,1
product,0,0,1,0,0,1
rto,0,1,0,0,0,1
pivot,0,0,0,0,1,1
complete,0,0,0,0,1,1
slips,0,1,0,0,0,1
hatch,0,1,0,0,0,1
wherever,1,0,0,0,0,1
ways,0,1,0,0,0,1
knowledge,0,0,0,0,1,1
ever,0,0,0,0,1,1
token,0,0,1,0,0,1
invariants,0,1,0,0,0,1
slip,0,1,0,0,0,1
viability,0,1,0,0,0,1
hour,0,1,0,0,0,1
briefs,0,0,0,1,0,1
exposed,0,0,1,0,0,1
inventory,0,1,0,0,0,1
isolate,0,0,0,1,0,1
mind,0,1,0,0,0,1
drift,1,0,0,0,0,1
patching,0,0,0,0,1,1
sticky,0,0,0,0,1,1
onboarding,0,1,0,0,0,1
kill,0,0,0,0,1,1
expansion,0,0,0,1,0,1
detail,0,1,0,0,0,1
seen,0,1,0,0,0,1
retained,0,0,1,0,0,1
win,0,0,0,1,0,1
boring,0,0,0,1,0,1
guardrail,0,1,0,0,0,1
scrutiny,0,0,0,1,0,1
readable,0,0,0,1,0,1
considered,0,0,1,0,0,1
modularity,1,0,0,0,0,1
strengthen,0,1,0,0,0,1
damaging,0,0,0,0,1,1
versus,0,0,0,1,0,1
experience,0,0,0,1,0,1
slos,0,0,1,0,0,1
demonstrated,0,0,1,0,0,1
nuisance,0,0,0,1,0,1
depth,0,0,0,1,0,1
other,0,1,0,0,0,1
embed,0,0,0,1,0,1
declared,0,0,0,1,0,1
leading,0,0,1,0,0,1
schema,0,0,0,0,1,1
happened,0,0,1,0,0,1
article,0,0,1,0,0,1
alternates,1,0,0,0,0,1
folders,0,1,0,0,0,1
dr,0,1,0,0,0,1
item,0,0,0,0,1,1
accepts,0,0,0,1,0,1
typed,0,1,0,0,0,1
construction,0,0,0,0,1,1
meaningful,1,0,0,0,0,1
budgeting,0,0,0,0,1,1
weighted,0,1,0,0,0,1
spend,0,1,0,0,0,1
comfortable,0,0,0,1,0,1
resignation,0,0,0,1,0,1
anyway,1,0,0,0,0,1
pain,0,0,1,0,0,1
doubt,0,0,1,0,0,1
protocol,0,1,0,0,0,1
variance,0,0,0,1,0,1
ux,0,0,0,0,1,1
rpo,0,1,0,0,0,1
pii,0,0,0,1,0,1
factors,0,0,0,1,0,1
ui,0,0,0,1,0,1
axis,0,0,1,0,0,1
read,0,0,0,0,1,1
sentence,0,0,0,1,0,1
deployable,0,1,0,0,0,1
some,0,0,1,0,0,1
center,0,0,1,0,0,1
protects,0,0,0,1,0,1
restricted,0,0,0,0,1,1
pilots,0,0,1,0,0,1
phi,0,0,0,1,0,1
underestimated,1,0,0,0,0,1
behaves,0,1,0,0,0,1
better,0,1,0,0,0,1
good,0,0,0,1,0,1
examples,1,0,0,0,0,1
diffs,1,0,0,0,0,1
mines,0,0,0,0,1,1
tradition,0,1,0,0,0,1
separable,0,0,1,0,0,1
standardized,0,0,0,0,1,1
monitor,0,1,0,0,0,1
scoping,0,1,0,0,0,1
uniquely,0,0,0,1,0,1
lowest,0,0,1,0,0,1
outs,1,0,0,0,0,1
positive,0,0,0,1,0,1
public,0,1,0,0,0,1
representative,0,0,1,0,0,1
competition,0,0,1,0,0,1
trusted,0,0,1,0,0,1
sensitivity,0,0,1,0,0,1
resentments,1,0,0,0,0,1
rationale,0,0,0,0,1,1
longtime,0,1,0,0,0,1
halt,0,0,0,0,1,1
patience,0,0,1,0,0,1
repro,0,0,1,0,0,1
close,1,0,0,0,0,1
calibration,0,0,1,0,0,1
starter,0,0,1,0,0,1
accounts,0,0,0,1,0,1
late,0,0,0,0,1,1
includes,0,0,0,1,0,1
delayed,0,1,0,0,0,1
weakens,0,1,0,0,0,1
whole,1,0,0,0,0,1
ignore,1,0,0,0,0,1
continue,0,1,0,0,0,1
completion,0,1,0,0,0,1
frequent,0,0,0,0,1,1
between,0,0,0,0,1,1
reported,0,1,0,0,0,1
