word,control_count,control_share,max_anchor_system,max_anchor_count,max_anchor_share,control_vs_max_anchor_ratio,share_gap,scenarios_control_present,scenario_win_count,scenario_term
procure,35,0.000137,HYBRID_SEMANTIC,21,0.000070,1.950824,0.000067,1,1,False
weights,35,0.000137,HYBRID_SEMANTIC,21,0.000070,1.950824,0.000067,1,1,False
supersede,112,0.000438,AC15,70,0.000230,1.905721,0.000208,1,1,False
licensing,56,0.000219,HYBRID_SEMANTIC,35,0.000117,1.872791,0.000102,1,1,False
harshly,35,0.000137,HYBRID_3_5,21,0.000074,1.857477,0.000063,1,1,False
tried,42,0.000164,AC15P,28,0.000089,1.841178,0.000075,1,1,False
editability,21,0.000082,AC15P,14,0.000045,1.841178,0.000037,1,1,False
mindset,21,0.000082,AC15P,14,0.000045,1.841178,0.000037,1,1,False
repayment,21,0.000082,AC15P,14,0.000045,1.841178,0.000037,1,1,False
agility,21,0.000082,AC15,14,0.000046,1.786614,0.000036,1,1,False
curation,21,0.000082,AC15,14,0.000046,1.786614,0.000036,1,1,False
routinely,21,0.000082,AC15,14,0.000046,1.786614,0.000036,2,1,False
strength,21,0.000082,AC15,14,0.000046,1.786614,0.000036,1,1,False
tenant,21,0.000082,AC15,14,0.000046,1.786614,0.000036,1,1,False
owners,63,0.000246,HYBRID_SEMANTIC,42,0.000140,1.755741,0.000106,1,1,False
quiet,42,0.000164,HYBRID_SEMANTIC,28,0.000093,1.755741,0.000071,1,1,False
solved,42,0.000164,HYBRID_SEMANTIC,28,0.000093,1.755741,0.000071,1,1,False
supervised,42,0.000164,HYBRID_SEMANTIC,28,0.000093,1.755741,0.000071,1,1,False
critics,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,1,1,False
enjoy,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,1,1,False
ill,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,1,1,False
rise,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,2,1,False
speak,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,2,1,False
suggestion,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,1,1,False
immigration,70,0.000274,AC15P,49,0.000156,1.753503,0.000118,1,1,False
emotionally,112,0.000438,HYBRID_SEMANTIC,77,0.000257,1.702537,0.000181,1,1,False
respect,126,0.000492,AC15P,91,0.000290,1.699549,0.000203,1,1,False
assumption,70,0.000274,HYBRID_SEMANTIC,49,0.000164,1.672135,0.000110,1,1,False
ids,42,0.000164,HYBRID_3_5,28,0.000098,1.671729,0.000066,1,1,False
accusing,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
became,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
committee,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,True
contender,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
fmea,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
informed,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
little,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
migrations,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
perf,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
reacts,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
repository,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
runs,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,2,1,False
sperm,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
strain,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
summarize,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
thread,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,1,1,False
descent,49,0.000191,AC15,35,0.000115,1.667506,0.000077,1,1,False
citations,259,0.001012,HYBRID_3_5,175,0.000614,1.649439,0.000398,1,1,False
swap,98,0.000383,HYBRID_SEMANTIC,70,0.000234,1.638692,0.000149,2,1,False
alternates,49,0.000191,HYBRID_SEMANTIC,35,0.000117,1.638692,0.000075,1,1,False
debug,77,0.000301,AC15,56,0.000184,1.637729,0.000117,1,1,False
silent,84,0.000328,AC15P,63,0.000201,1.636603,0.000128,2,1,False
worries,28,0.000109,AC15P,21,0.000067,1.636603,0.000043,1,1,False
annual,147,0.000574,AC15P,112,0.000357,1.611031,0.000218,1,1,True
implementation,140,0.000547,AC15,105,0.000344,1.588101,0.000203,2,1,False
doctor,28,0.000109,AC15,21,0.000069,1.588101,0.000041,1,1,False
library,28,0.000109,AC15,21,0.000069,1.588101,0.000041,2,1,False
optimize,28,0.000109,AC15,21,0.000069,1.588101,0.000041,3,1,False
semantic,28,0.000109,AC15,21,0.000069,1.588101,0.000041,1,1,False
policy,350,0.001368,HYBRID_SEMANTIC,259,0.000865,1.581749,0.000503,4,1,False
cybersecurity,63,0.000246,AC15P,49,0.000156,1.578153,0.000090,1,1,False
stronger,63,0.000246,AC15P,49,0.000156,1.578153,0.000090,4,1,False
conversation,140,0.000547,HYBRID_SEMANTIC,105,0.000351,1.560659,0.000197,2,1,False
advantages,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,1,1,False
filtering,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,1,1,False
maintained,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,3,1,False
reasoning,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,2,1,False
strengths,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,1,1,False
memory,1631,0.006373,AC15,1246,0.004088,1.559105,0.002286,1,1,True
interface,70,0.000274,AC15P,56,0.000178,1.534315,0.000095,2,1,False
weighted,70,0.000274,AC15P,56,0.000178,1.534315,0.000095,2,1,False
specificity,35,0.000137,AC15P,28,0.000089,1.534315,0.000048,1,1,False
demo,63,0.000246,HYBRID_SEMANTIC,49,0.000164,1.504921,0.000083,1,1,False
romance,63,0.000246,HYBRID_SEMANTIC,49,0.000164,1.504921,0.000083,1,1,False
steady,63,0.000246,HYBRID_SEMANTIC,49,0.000164,1.504921,0.000083,1,1,False
parents,77,0.000301,AC15P,63,0.000201,1.500219,0.000100,1,1,False
volume,70,0.000274,AC15,56,0.000184,1.488845,0.000090,2,1,False
configurable,35,0.000137,AC15,28,0.000092,1.488845,0.000045,1,1,False
opacity,35,0.000137,AC15,28,0.000092,1.488845,0.000045,1,1,False
delta,56,0.000219,HYBRID_3_5,42,0.000147,1.485981,0.000072,1,1,False
avl,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,1,1,False
blocking,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,1,1,False
others,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,1,1,False
preferences,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,3,1,False
satisfies,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,4,1,False
solving,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,2,1,False
treatment,28,0.000109,HYBRID_3_5,21,0.000074,1.485981,0.000036,1,1,False
predictability,238,0.000930,HYBRID_SEMANTIC,189,0.000631,1.473956,0.000299,1,1,False
shipped,42,0.000164,AC15P,35,0.000111,1.472942,0.000053,2,1,False
snippets,140,0.000547,HYBRID_SEMANTIC,112,0.000374,1.463118,0.000173,1,1,False
adult,35,0.000137,HYBRID_SEMANTIC,28,0.000093,1.463118,0.000043,1,1,False
entries,35,0.000137,HYBRID_SEMANTIC,28,0.000093,1.463118,0.000043,1,1,False
humans,35,0.000137,HYBRID_SEMANTIC,28,0.000093,1.463118,0.000043,1,1,False
lightweight,35,0.000137,HYBRID_SEMANTIC,28,0.000093,1.463118,0.000043,1,1,False
exception,147,0.000574,HYBRID_3_5,112,0.000393,1.462763,0.000182,2,1,False
components,91,0.000356,HYBRID_3_5,70,0.000245,1.448832,0.000110,2,1,False
permanently,63,0.000246,HYBRID_3_5,49,0.000172,1.432911,0.000074,1,1,False
respects,49,0.000191,AC15P,42,0.000134,1.432027,0.000058,1,1,False
schema,49,0.000191,AC15P,42,0.000134,1.432027,0.000058,1,1,False
identity,42,0.000164,AC15,35,0.000115,1.429291,0.000049,3,1,False
running,42,0.000164,AC15,35,0.000115,1.429291,0.000049,2,1,False
sick,42,0.000164,AC15,35,0.000115,1.429291,0.000049,1,1,False
conflict,252,0.000985,AC15P,217,0.000691,1.425428,0.000294,4,1,False
home,399,0.001559,HYBRID_SEMANTIC,329,0.001098,1.419536,0.000461,1,1,False
caregiving,98,0.000383,HYBRID_3_5,77,0.000270,1.418437,0.000113,1,1,False
prompt,91,0.000356,AC15,77,0.000253,1.407635,0.000103,1,1,False
assisted,42,0.000164,HYBRID_SEMANTIC,35,0.000117,1.404593,0.000047,2,1,False
careful,35,0.000137,HYBRID_3_5,28,0.000098,1.393108,0.000039,1,1,False
climb,35,0.000137,HYBRID_3_5,28,0.000098,1.393108,0.000039,1,1,False
duty,35,0.000137,HYBRID_3_5,28,0.000098,1.393108,0.000039,2,1,False
leverage,147,0.000574,AC15,126,0.000413,1.389588,0.000161,4,1,False
weight,98,0.000383,AC15,84,0.000276,1.389588,0.000107,1,1,False
vector,308,0.001204,AC15,266,0.000873,1.379140,0.000331,1,1,True
yet,140,0.000547,HYBRID_SEMANTIC,119,0.000397,1.377052,0.000150,2,1,False
curated,273,0.001067,AC15,238,0.000781,1.366234,0.000286,2,1,False
partnership,49,0.000191,HYBRID_SEMANTIC,42,0.000140,1.365577,0.000051,1,1,False
socially,49,0.000191,HYBRID_SEMANTIC,42,0.000140,1.365577,0.000051,1,1,False
geofencing,70,0.000274,AC15P,63,0.000201,1.363835,0.000073,1,1,True
onboarding,70,0.000274,AC15P,63,0.000201,1.363835,0.000073,1,1,True
judged,77,0.000301,HYBRID_3_5,63,0.000221,1.362150,0.000080,1,1,False
scoring,77,0.000301,HYBRID_3_5,63,0.000221,1.362150,0.000080,2,1,False
look,161,0.000629,HYBRID_SEMANTIC,140,0.000467,1.346068,0.000162,3,1,False
storage,84,0.000328,AC15P,77,0.000245,1.339038,0.000083,2,1,False
commercial,280,0.001094,HYBRID_SEMANTIC,245,0.000818,1.337708,0.000276,2,1,False
static,56,0.000219,HYBRID_SEMANTIC,49,0.000164,1.337708,0.000055,1,1,False
rut,126,0.000492,HYBRID_3_5,105,0.000368,1.337383,0.000124,1,1,False
citation,42,0.000164,HYBRID_3_5,35,0.000123,1.337383,0.000041,1,1,False
message,42,0.000164,HYBRID_3_5,35,0.000123,1.337383,0.000041,4,1,False
keeping,140,0.000547,AC15,126,0.000413,1.323417,0.000134,3,1,False
warm,70,0.000274,AC15,63,0.000207,1.323417,0.000067,1,1,False
files,91,0.000356,HYBRID_3_5,77,0.000270,1.317120,0.000086,1,1,False
compliance,126,0.000492,HYBRID_SEMANTIC,112,0.000374,1.316806,0.000118,3,1,False
shorter,63,0.000246,HYBRID_SEMANTIC,56,0.000187,1.316806,0.000059,1,1,False
based,294,0.001149,AC15,266,0.000873,1.316452,0.000276,4,1,True
autonomous,140,0.000547,HYBRID_3_5,119,0.000417,1.311160,0.000130,1,1,True
bottom,140,0.000547,HYBRID_SEMANTIC,126,0.000421,1.300549,0.000126,4,1,False
industry,140,0.000547,HYBRID_SEMANTIC,126,0.000421,1.300549,0.000126,1,1,False
expenses,70,0.000274,HYBRID_SEMANTIC,63,0.000210,1.300549,0.000063,1,1,False
bring,49,0.000191,HYBRID_3_5,42,0.000147,1.300234,0.000044,3,1,False
handled,49,0.000191,HYBRID_3_5,42,0.000147,1.300234,0.000044,2,1,False
provided,49,0.000191,HYBRID_3_5,42,0.000147,1.300234,0.000044,3,1,False
ruts,49,0.000191,HYBRID_3_5,42,0.000147,1.300234,0.000044,1,1,False
prior,133,0.000520,AC15P,126,0.000401,1.295644,0.000119,3,1,False
times,280,0.001094,AC15P,266,0.000847,1.292055,0.000247,3,1,True
edit,77,0.000301,HYBRID_SEMANTIC,70,0.000234,1.287544,0.000067,1,1,False
return,175,0.000684,AC15P,168,0.000535,1.278596,0.000149,4,1,False
process,168,0.000656,HYBRID_SEMANTIC,154,0.000514,1.276903,0.000142,3,1,False
momentum,56,0.000219,HYBRID_3_5,49,0.000172,1.273698,0.000047,2,1,False
stored,56,0.000219,HYBRID_3_5,49,0.000172,1.273698,0.000047,2,1,False
mvp,112,0.000438,AC15,105,0.000344,1.270481,0.000093,1,1,False
routines,98,0.000383,HYBRID_SEMANTIC,91,0.000304,1.260532,0.000079,1,1,False
main,126,0.000492,HYBRID_3_5,112,0.000393,1.253797,0.000100,3,1,False
modular,1078,0.004212,HYBRID_3_5,959,0.003362,1.252780,0.000850,1,1,True
answers,154,0.000602,AC15,147,0.000482,1.247794,0.000120,3,1,False
up,301,0.001176,AC15P,301,0.000958,1.227452,0.000218,4,1,False
staleness,259,0.001012,AC15P,259,0.000825,1.227452,0.000188,1,1,True
transparency,105,0.000410,AC15P,105,0.000334,1.227452,0.000076,3,1,False
loaded,70,0.000274,AC15P,70,0.000223,1.227452,0.000051,2,1,False
regulatory,70,0.000274,AC15P,70,0.000223,1.227452,0.000051,3,1,True
lets,56,0.000219,AC15P,56,0.000178,1.227452,0.000041,4,1,False
behave,42,0.000164,AC15P,42,0.000134,1.227452,0.000030,2,1,False
gifts,42,0.000164,AC15P,42,0.000134,1.227452,0.000030,1,1,False
happened,42,0.000164,AC15P,42,0.000134,1.227452,0.000030,1,1,False
guarantees,35,0.000137,AC15P,35,0.000111,1.227452,0.000025,2,1,False
independently,35,0.000137,AC15P,35,0.000111,1.227452,0.000025,2,1,False
redefine,35,0.000137,AC15P,35,0.000111,1.227452,0.000025,1,1,False
anchored,28,0.000109,AC15P,28,0.000089,1.227452,0.000020,1,1,False
interaction,28,0.000109,AC15P,28,0.000089,1.227452,0.000020,2,1,False
lines,28,0.000109,AC15P,28,0.000089,1.227452,0.000020,2,1,False
refactors,28,0.000109,AC15P,28,0.000089,1.227452,0.000020,1,1,False
younger,28,0.000109,AC15P,28,0.000089,1.227452,0.000020,1,1,True
acceptability,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,2,1,False
anywhere,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,1,1,False
biasing,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,1,1,False
buyers,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,2,1,False
classification,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,3,1,False
competition,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,1,1,False
redaction,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,1,1,False
variant,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,1,1,False
adjustments,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
apart,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
approving,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,1,False
curate,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
demonstration,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
entirely,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,1,False
fears,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
hallucinated,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
hired,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
indefinitely,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
inspectability,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
introduced,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,1,False
ladder,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
launched,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
lois,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
mood,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
neighborhood,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
occurred,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
restart,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,1,False
warranted,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,1,1,False
24h,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
abstraction,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
activated,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
aides,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
argues,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
asian,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,True
aside,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
baggage,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
bangkok,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
baselines,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
blends,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
blueprint,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
buttons,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
certifying,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
compiles,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
confused,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
consulted,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
counterargument,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
courage,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
demonstrations,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
destabilizing,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
devices,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
disfavored,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
distress,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
excluding,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
expiration,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
extent,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
falls,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
finalization,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
fog,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
gospel,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
holes,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
immature,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
induced,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
installs,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
institutionally,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
intensify,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
irrelevance,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
listed,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
lonely,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,True
medications,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
minimally,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
mistaken,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
obsolete,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
opposite,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
overpromising,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
payback,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
percent,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,True
pivotal,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
pivots,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
portion,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
postgres,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
preemptive,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
preload,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
qualitative,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
rabbit,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
rcas,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
reactions,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
reductions,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
relocated,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
represents,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
riskiest,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
sacrifices,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
scratchpad,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
sideways,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
singapore,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
sleep,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
snapshots,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
spatially,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
stonewalling,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
studio,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
succinctly,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
surgery,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
swamp,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
throughs,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
varied,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
walkout,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
western,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,True
wishful,7,0.000027,AC15P,7,0.000022,1.227452,0.000005,1,1,False
company,154,0.000602,HYBRID_SEMANTIC,147,0.000491,1.226232,0.000111,1,1,False
tends,77,0.000301,HYBRID_3_5,70,0.000245,1.225935,0.000055,3,1,False
preserves,91,0.000356,HYBRID_3_5,84,0.000295,1.207360,0.000061,4,1,False
design,308,0.001204,AC15P,315,0.001003,1.200175,0.000201,4,1,False
last,203,0.000793,HYBRID_3_5,189,0.000663,1.197041,0.000131,3,1,True
realistic,112,0.000438,AC15,112,0.000367,1.191076,0.000070,3,1,False
consider,105,0.000410,AC15,105,0.000344,1.191076,0.000066,3,1,False
hit,84,0.000328,AC15,84,0.000276,1.191076,0.000053,3,1,False
unsafe,70,0.000274,AC15,70,0.000230,1.191076,0.000044,2,1,False
healthy,63,0.000246,AC15,63,0.000207,1.191076,0.000039,1,1,False
negotiables,63,0.000246,AC15,63,0.000207,1.191076,0.000039,2,1,False
realities,63,0.000246,AC15,63,0.000207,1.191076,0.000039,3,1,False
controllable,49,0.000191,AC15,49,0.000161,1.191076,0.000031,2,1,False
lost,49,0.000191,AC15,49,0.000161,1.191076,0.000031,2,1,False
tend,49,0.000191,AC15,49,0.000161,1.191076,0.000031,3,1,False
conflicts,42,0.000164,AC15,42,0.000138,1.191076,0.000026,1,1,False
discussion,42,0.000164,AC15,42,0.000138,1.191076,0.000026,2,1,False
hazardous,42,0.000164,AC15,42,0.000138,1.191076,0.000026,1,1,False
pace,42,0.000164,AC15,42,0.000138,1.191076,0.000026,1,1,False
international,35,0.000137,AC15,35,0.000115,1.191076,0.000022,1,1,False
affect,28,0.000109,AC15,28,0.000092,1.191076,0.000018,3,1,False
attorney,28,0.000109,AC15,28,0.000092,1.191076,0.000018,2,1,False
candidates,28,0.000109,AC15,28,0.000092,1.191076,0.000018,1,1,False
chemistry,28,0.000109,AC15,28,0.000092,1.191076,0.000018,1,1,False
pays,28,0.000109,AC15,28,0.000092,1.191076,0.000018,3,1,False
sharing,28,0.000109,AC15,28,0.000092,1.191076,0.000018,1,1,False
communicate,21,0.000082,AC15,21,0.000069,1.191076,0.000013,1,1,False
competing,21,0.000082,AC15,21,0.000069,1.191076,0.000013,2,1,False
derail,21,0.000082,AC15,21,0.000069,1.191076,0.000013,1,1,False
fantasy,21,0.000082,AC15,21,0.000069,1.191076,0.000013,1,1,False
hire,21,0.000082,AC15,21,0.000069,1.191076,0.000013,1,1,False
invite,21,0.000082,AC15,21,0.000069,1.191076,0.000013,1,1,False
ons,21,0.000082,AC15,21,0.000069,1.191076,0.000013,1,1,False
preserved,21,0.000082,AC15,21,0.000069,1.191076,0.000013,3,1,False
violate,21,0.000082,AC15,21,0.000069,1.191076,0.000013,3,1,False
adapt,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
caretaking,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
compared,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
counterfactual,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
die,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
flattery,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
generosity,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
individual,14,0.000055,AC15,14,0.000046,1.191076,0.000009,2,1,False
irrational,14,0.000055,AC15,14,0.000046,1.191076,0.000009,2,1,False
leader,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
meds,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
motivations,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,True
negotiations,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
networking,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
physical,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
q2,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
rehearsed,14,0.000055,AC15,14,0.000046,1.191076,0.000009,2,1,False
replaceable,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
rest,14,0.000055,AC15,14,0.000046,1.191076,0.000009,2,1,False
seek,14,0.000055,AC15,14,0.000046,1.191076,0.000009,2,1,False
sits,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
standardization,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
teamwork,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
violates,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
vote,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
whom,14,0.000055,AC15,14,0.000046,1.191076,0.000009,1,1,False
affectionate,7,0.000027,AC15,7,0.000023,1.191076,0.000004,1,1,False
affordable,7,0.000027,AC15,7,0.000023,1.191076,0.000004,1,1,False
alleges,7,0.000027,AC15,7,0.000023,1.191076,0.000004,1,1,False
ally,7,0.000027,AC15,7,0.000023,1.191076,0.000004,1,1,False
aspirational,7,0.000027,AC15,7,0.000023,1.191076,0.000004,1,1,False
belonging,7,0.000027,AC15,7,0.000023,1.191076,0.000004,1,1,False
