scenario,level,system,sub_element,group,rows,sum_count
S1,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,8,16
S1,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,9,18
S1,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S1,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,4,8
S1,quadgrams,HYBRID_SEMANTIC,conditions,conditions,1,2
S1,quadgrams,HYBRID_SEMANTIC,truth.verification,truth,14,28
S1,quadgrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,temporal_projection,1,2
S1,quadgrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,temporal_projection,2,4
S1,quadgrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,4,8
S1,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,1,2
S1,quadgrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,truth,1,2
S1,quadgrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,1,2
S1,quadgrams,HYBRID_SEMANTIC,hedging,hedging,1,2
S3,quadgrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,2,5
S3,quadgrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,3,9
S3,quadgrams,CONTROL,surfacing.hard_limit_refusal,surfacing,6,14
S3,quadgrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,3,6
S3,quadgrams,CONTROL,warning,warning,4,8
S3,quadgrams,CONTROL,truth.fact_vs_interpretation,truth,2,4
S3,quadgrams,CONTROL,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,3,6
S3,quadgrams,CONTROL,conditions,conditions,4,8
S3,quadgrams,CONTROL,truth.verification,truth,2,4
S3,quadgrams,CONTROL,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,1,2
S3,quadgrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,8,16
S3,quadgrams,CONTROL,temporal_projection.time_horizons,temporal_projection,1,2
S3,quadgrams,CONTROL,hedging,hedging,1,2
S3,quadgrams,CONTROL,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S3,quadgrams,AC15,temporal_projection.change_and_rate,temporal_projection,1,2
S3,quadgrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,3,6
S3,quadgrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,7,14
S3,quadgrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,7,14
S3,quadgrams,AC15,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S3,quadgrams,AC15,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,2,4
S3,quadgrams,AC15,truth.verification,truth,2,4
S3,quadgrams,AC15,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,2
S3,quadgrams,AC15,truth.fact_vs_interpretation,truth,2,4
S3,quadgrams,AC15,temporal_projection.time_horizons,temporal_projection,2,4
S3,quadgrams,AC15,hedging,hedging,3,6
S3,quadgrams,AC15,surfacing.hard_limit_refusal,surfacing,1,2
S3,quadgrams,AC15,temporal_projection.decay_and_currency,temporal_projection,1,2
S3,quadgrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,6,15
S3,quadgrams,AC15P,temporal_projection.time_horizons,temporal_projection,5,12
S3,quadgrams,AC15P,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,3
S3,quadgrams,AC15P,conditions,conditions,4,10
S3,quadgrams,AC15P,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,3,6
S3,quadgrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,11,22
S3,quadgrams,AC15P,hedging,hedging,5,10
S3,quadgrams,AC15P,temporal_projection.change_and_rate,temporal_projection,3,6
S3,quadgrams,AC15P,truth.verification,truth,4,8
S3,quadgrams,AC15P,surfacing.confrontation,surfacing,1,2
S3,quadgrams,AC15P,surfacing.hard_limit_refusal,surfacing,4,8
S3,quadgrams,AC15P,smoothing,smoothing,3,6
S3,quadgrams,AC15P,autonomy_sovereignty,autonomy_sovereignty,1,2
S3,quadgrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S3,quadgrams,AC15P,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,1,2
S3,quadgrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,8,27
S3,quadgrams,HYBRID_3_5,warning,warning,4,11
S3,quadgrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,1,3
S3,quadgrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,9,19
S3,quadgrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,12,26
S3,quadgrams,HYBRID_3_5,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,1,2
S3,quadgrams,HYBRID_3_5,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S3,quadgrams,HYBRID_3_5,hedging,hedging,2,4
S3,quadgrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,1,2
S3,quadgrams,HYBRID_3_5,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,1,2
S3,quadgrams,HYBRID_3_5,truth.verification,truth,4,8
S3,quadgrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,5,15
S3,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,10,22
S3,quadgrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,3,7
S3,quadgrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,3,7
S3,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,2,4
S3,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,7,14
S3,quadgrams,HYBRID_SEMANTIC,warning,warning,2,4
S3,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,9,18
S3,quadgrams,HYBRID_SEMANTIC,conditions,conditions,2,4
S3,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,2,4
S3,quadgrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,2,4
S3,quadgrams,HYBRID_SEMANTIC,hedging,hedging,1,2
S5,quadgrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,5,20
S5,quadgrams,CONTROL,truth.verification,truth,6,12
S5,quadgrams,CONTROL,temporal_projection.time_horizons,temporal_projection,1,2
S5,quadgrams,CONTROL,temporal_projection.decay_and_currency,temporal_projection,2,4
S5,quadgrams,CONTROL,hedging,hedging,4,8
S5,quadgrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S5,quadgrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,1,2
S5,quadgrams,CONTROL,surfacing.friction_exposed,surfacing,2,4
S5,quadgrams,CONTROL,surfacing.tension_exposure,surfacing,1,2
S5,quadgrams,AC15,temporal_projection.decay_and_currency,temporal_projection,9,24
S5,quadgrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,7,15
S5,quadgrams,AC15,truth.verification,truth,11,23
S5,quadgrams,AC15,warning,warning,1,2
S5,quadgrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,7,14
S5,quadgrams,AC15,surfacing.confrontation,surfacing,3,6
S5,quadgrams,AC15,surfacing.hard_limit_refusal,surfacing,3,6
S5,quadgrams,AC15,conditions,conditions,1,2
S5,quadgrams,AC15,surfacing.tension_exposure,surfacing,1,2
S5,quadgrams,AC15,temporal_projection.time_horizons,temporal_projection,1,2
S5,quadgrams,AC15,truth.fact_vs_interpretation,truth,1,2
S5,quadgrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,6,16
S5,quadgrams,AC15P,truth.verification,truth,6,15
S5,quadgrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,5,13
S5,quadgrams,AC15P,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,5,12
S5,quadgrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,2,4
S5,quadgrams,AC15P,hedging,hedging,2,4
S5,quadgrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S5,quadgrams,AC15P,surfacing.hard_limit_refusal,surfacing,2,4
S5,quadgrams,AC15P,temporal_projection.time_horizons,temporal_projection,3,6
S5,quadgrams,AC15P,conditions,conditions,4,8
S5,quadgrams,AC15P,surfacing.confrontation,surfacing,1,2
S5,quadgrams,AC15P,surfacing.friction_exposed,surfacing,3,6
S5,quadgrams,AC15P,temporal_projection.change_and_rate,temporal_projection,1,2
S5,quadgrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,3,10
S5,quadgrams,HYBRID_3_5,hedging,hedging,10,21
S5,quadgrams,HYBRID_3_5,truth.fact_vs_interpretation,truth,1,2
S5,quadgrams,HYBRID_3_5,truth.verification,truth,9,18
S5,quadgrams,HYBRID_3_5,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,2,4
S5,quadgrams,HYBRID_3_5,temporal_projection.decay_and_currency,temporal_projection,6,12
S5,quadgrams,HYBRID_3_5,conditions,conditions,1,2
S5,quadgrams,HYBRID_3_5,warning,warning,1,2
S5,quadgrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,1,2
S5,quadgrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S5,quadgrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,4,8
S5,quadgrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S5,quadgrams,HYBRID_SEMANTIC,truth.verification,truth,12,26
S5,quadgrams,HYBRID_SEMANTIC,temporal_projection.decay_and_currency,temporal_projection,5,12
S5,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S5,quadgrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S5,quadgrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,truth,2,4
S5,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,9,18
S5,quadgrams,HYBRID_SEMANTIC,conditions,conditions,3,6
S5,quadgrams,HYBRID_SEMANTIC,warning,warning,3,6
S5,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,2,4
S5,quadgrams,HYBRID_SEMANTIC,smoothing,smoothing,1,2
S5,quadgrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,3,6
S5,quadgrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,3,6
S5,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S7,quadgrams,CONTROL,surfacing.confrontation,surfacing,3,7
S7,quadgrams,CONTROL,temporal_projection.time_horizons,temporal_projection,1,2
S7,quadgrams,CONTROL,hedging,hedging,5,10
S7,quadgrams,CONTROL,warning,warning,1,2
S7,quadgrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,5,10
S7,quadgrams,CONTROL,surfacing.friction_exposed,surfacing,1,2
S7,quadgrams,CONTROL,surfacing.tension_exposure,surfacing,1,2
S7,quadgrams,CONTROL,conditions,conditions,3,6
S7,quadgrams,CONTROL,surfacing.hard_limit_refusal,surfacing,2,4
S7,quadgrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,1,2
S7,quadgrams,AC15,temporal_projection.time_horizons,temporal_projection,6,13
S7,quadgrams,AC15,smoothing,smoothing,8,17
S7,quadgrams,AC15,truth.plain_statement,truth,2,4
S7,quadgrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S7,quadgrams,AC15,hedging,hedging,5,10
S7,quadgrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S7,quadgrams,AC15,warning,warning,4,8
S7,quadgrams,AC15,temporal_projection.decay_and_currency,temporal_projection,2,4
S7,quadgrams,AC15,temporal_projection.change_and_rate,temporal_projection,1,2
S7,quadgrams,AC15,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,2
S7,quadgrams,AC15,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,1,2
S7,quadgrams,AC15,conditions,conditions,2,4
S7,quadgrams,AC15,surfacing.confrontation,surfacing,1,2
S7,quadgrams,AC15,autonomy_sovereignty,autonomy_sovereignty,1,2
S7,quadgrams,AC15P,hedging,hedging,9,24
S7,quadgrams,AC15P,conditions,conditions,5,12
S7,quadgrams,AC15P,temporal_projection.time_horizons,temporal_projection,4,9
S7,quadgrams,AC15P,temporal_projection.change_and_rate,temporal_projection,6,12
S7,quadgrams,AC15P,truth.plain_statement,truth,2,4
S7,quadgrams,AC15P,surfacing.hard_limit_refusal,surfacing,3,6
S7,quadgrams,AC15P,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,2,4
S7,quadgrams,AC15P,warning,warning,1,2
S7,quadgrams,AC15P,surfacing.confrontation,surfacing,4,8
S7,quadgrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,1,2
S7,quadgrams,HYBRID_3_5,hedging,hedging,9,26
S7,quadgrams,HYBRID_3_5,warning,warning,7,14
S7,quadgrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,3,6
S7,quadgrams,HYBRID_3_5,truth.verification,truth,1,2
S7,quadgrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,2,4
S7,quadgrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,2,4
S7,quadgrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,3,6
S7,quadgrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,2,4
S7,quadgrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,1,2
S7,quadgrams,HYBRID_SEMANTIC,hedging,hedging,1,8
S7,quadgrams,HYBRID_SEMANTIC,conditions,conditions,11,23
S7,quadgrams,HYBRID_SEMANTIC,truth.verification,truth,5,10
S7,quadgrams,HYBRID_SEMANTIC,warning,warning,2,4
S7,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,3,6
S7,quadgrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,6,12
S7,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S7,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,3,6
S7,quadgrams,HYBRID_SEMANTIC,temporal_projection.decay_and_currency,temporal_projection,1,2
S7,quadgrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,2,4
S7,quadgrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,1,2
S7,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,2,4
S7,quadgrams,HYBRID_SEMANTIC,surfacing.tension_exposure,surfacing,1,2
